Date,Spain,Andalucía,Aragón,Principado de Asturias,Castilla y León,Castilla-La Mancha,Canarias,Catalunya,Galicia,Illes Balears,Región de Murcia,Comunidad de Madrid,País Vasco,Comunidad Valenciana
2006-07-30,17,27,10,26,50,16,39,9,38,16,7,16,20,11
2006-08-06,16,36,13,31,44,17,31,11,30,12,9,10,17,10
2006-08-13,16,13,12,28,41,24,35,12,34,13,9,22,26,9
2006-08-20,20,18,19,30,36,30,30,23,22,15,10,14,38,9
2006-08-27,21,18,31,25,31,26,27,15,21,18,12,16,44,14
2006-09-03,13,12,23,22,26,22,21,14,18,22,11,11,59,11
2006-09-10,16,10,21,22,24,23,22,14,22,26,9,16,49,10
2006-09-17,26,15,21,21,30,44,20,29,17,33,16,24,48,22
2006-09-24,33,32,25,18,27,48,23,36,22,46,18,35,40,38
2006-10-01,32,31,26,21,22,51,27,52,25,32,20,37,35,30
2006-10-08,42,36,35,37,21,56,44,43,29,29,19,37,43,30
2006-10-15,48,37,56,90,31,48,40,77,47,29,21,41,46,52
2006-10-22,35,22,77,108,33,42,27,31,59,37,22,38,64,38
2006-10-29,33,27,67,95,41,36,30,45,54,28,20,35,59,30
2006-11-05,36,20,56,86,36,30,37,34,58,21,21,34,50,27
2006-11-12,38,38,41,117,60,29,33,50,84,18,20,35,39,17
2006-11-19,39,25,36,135,54,28,32,45,64,19,20,33,38,46
2006-11-26,35,23,27,110,43,23,65,25,77,19,16,48,43,35
2006-12-03,34,39,23,83,41,18,54,25,61,17,15,45,50,41
2006-12-10,50,33,22,90,39,21,37,91,54,16,20,61,50,73
2006-12-17,32,27,18,77,53,28,34,36,44,13,23,32,50,25
2006-12-24,64,111,21,142,55,33,43,106,59,15,22,33,50,24
2006-12-31,109,101,24,307,64,43,49,229,73,17,21,99,64,43
2007-01-07,130,153,40,274,128,35,130,226,85,27,57,102,65,48
2007-01-14,169,170,88,256,219,77,241,228,101,41,63,147,77,94
2007-01-21,188,126,142,462,315,217,432,306,124,92,93,191,109,82
2007-01-28,279,196,216,479,556,545,258,352,179,172,183,322,414,131
2007-02-04,303,142,259,397,517,886,213,308,443,198,475,265,616,355
2007-02-11,161,99,233,284,642,749,136,140,450,263,292,173,305,104
2007-02-18,97,56,251,252,349,484,111,89,228,248,184,75,237,169
2007-02-25,52,33,127,215,274,244,84,74,182,195,140,39,187,52
2007-03-04,41,25,68,183,161,118,71,58,123,123,94,32,99,51
2007-03-11,34,33,52,117,117,80,50,56,85,83,75,27,63,23
2007-03-18,40,44,36,87,90,63,47,41,52,65,60,41,55,65
2007-03-25,35,14,38,99,70,68,40,56,47,52,50,19,45,39
2007-04-01,36,23,59,89,59,57,47,56,58,37,39,21,62,36
2007-04-08,35,41,51,165,55,49,34,51,82,43,37,20,48,47
2007-04-15,29,33,48,169,55,60,38,36,56,32,31,21,43,20
2007-04-22,23,17,45,103,67,55,31,26,43,30,32,21,38,45
2007-04-29,21,19,37,69,53,48,30,23,37,30,22,12,31,30
2007-05-06,26,30,31,48,42,41,28,32,36,43,45,14,25,15
2007-05-13,24,28,35,39,43,41,22,25,35,36,47,16,24,18
2007-05-20,22,22,30,33,45,37,20,31,35,32,40,14,24,23
2007-05-27,18,20,19,38,37,32,17,24,35,30,37,15,22,23
2007-06-03,20,28,19,41,35,28,16,36,35,29,31,10,20,22
2007-06-10,19,19,18,42,35,21,13,38,33,24,23,13,16,19
2007-06-17,12,11,14,35,30,22,12,17,25,21,17,8,17,13
2007-06-24,12,11,12,34,24,21,11,17,21,17,15,7,15,11
2007-07-01,12,16,11,28,25,22,9,11,18,21,14,9,13,7
2007-07-08,8,14,11,21,25,20,9,9,15,17,11,4,11,7
2007-07-15,12,10,12,20,20,19,11,11,16,17,9,9,12,9
2007-07-22,13,14,13,19,23,21,11,20,15,20,9,6,12,15
2007-07-29,10,9,15,19,28,22,12,10,16,19,9,8,12,13
2007-08-05,11,18,12,18,24,20,13,16,21,15,8,8,11,9
2007-08-12,14,13,11,17,26,25,13,17,18,15,8,10,12,9
2007-08-19,16,13,12,26,26,25,12,16,25,17,7,12,12,10
2007-08-26,15,20,13,28,42,24,11,18,24,16,7,10,14,14
2007-09-02,13,13,13,24,55,30,11,15,20,16,7,11,20,12
2007-09-09,17,15,13,22,41,33,12,31,18,14,6,17,21,12
2007-09-16,20,13,13,21,35,29,10,20,14,12,6,24,38,17
2007-09-23,30,14,13,30,38,37,10,25,14,15,8,32,45,22
2007-09-30,30,27,18,30,31,34,12,46,12,17,10,23,51,32
2007-10-07,36,28,20,58,37,33,12,46,18,16,17,39,52,21
2007-10-14,43,29,30,94,37,30,26,41,27,15,30,46,57,34
2007-10-21,32,27,41,61,40,30,34,27,38,14,32,38,45,26
2007-10-28,29,29,48,58,40,27,36,34,50,17,27,29,51,17
2007-11-04,36,23,53,51,41,25,33,45,56,20,25,37,52,21
2007-11-11,37,28,55,43,48,30,37,37,81,22,20,34,39,29
2007-11-18,47,26,84,55,58,37,31,44,56,24,16,64,53,24
2007-11-25,49,26,128,78,56,40,23,45,43,27,17,61,48,35
2007-12-02,62,24,141,124,82,48,17,57,47,29,19,94,48,28
2007-12-09,77,48,183,188,113,100,20,37,63,25,19,124,67,41
2007-12-16,115,66,200,253,124,120,18,117,103,32,27,165,105,57
2007-12-23,300,239,212,406,246,172,17,378,560,56,40,252,222,180
2007-12-30,336,255,135,1065,446,178,16,367,970,64,52,239,1034,195
2008-01-06,242,154,112,754,847,216,18,195,704,248,83,165,1658,151
2008-01-13,144,142,74,398,442,201,23,128,289,226,112,109,1030,100
2008-01-20,98,111,62,241,300,158,27,81,147,319,106,76,534,46
2008-01-27,73,53,66,149,260,106,48,90,123,254,88,52,301,23
2008-02-03,75,53,80,114,238,81,56,94,82,213,68,73,210,32
2008-02-10,72,51,119,105,214,75,66,49,55,182,68,69,174,62
2008-02-17,71,34,266,184,189,68,68,74,59,137,65,65,96,43
2008-02-24,48,29,170,170,214,104,55,66,59,113,59,31,70,48
2008-03-02,30,32,99,112,157,90,52,26,50,112,39,20,56,33
2008-03-09,26,16,59,71,101,68,44,32,38,92,30,20,44,32
2008-03-16,26,21,49,46,96,55,41,33,34,67,26,19,33,31
2008-03-23,27,16,34,29,78,57,34,32,43,50,24,22,33,50
2008-03-30,20,10,35,24,72,45,38,32,33,35,26,19,25,25
2008-04-06,19,18,35,33,50,34,32,21,26,34,23,16,22,17
2008-04-13,17,14,29,28,49,28,32,17,24,28,34,13,22,18
2008-04-20,17,14,23,30,41,24,31,21,19,24,29,15,21,26
2008-04-27,13,10,17,28,40,21,24,16,23,19,21,14,18,18
2008-05-04,14,11,14,24,32,20,20,20,23,21,23,16,20,11
2008-05-11,15,12,11,21,28,18,21,23,31,19,18,12,18,13
